timestamp,direction,packet_length
1769101214.7517204,OUTbound_CMD,191
1769101214.7520313,INbound_TEL,66
1769101214.7632072,INbound_TEL,531
1769101214.7640269,OUTbound_CMD,158
1769101214.7644484,INbound_TEL,66
1769101214.764916,INbound_TEL,531
1769101214.766032,OUTbound_CMD,159
1769101214.7668042,INbound_TEL,66
1769101214.7752697,OUTbound_CMD,254
1769101214.775628,INbound_TEL,66
1769101214.7833467,OUTbound_CMD,255
1769101214.7837296,INbound_TEL,66
1769101214.8005643,INbound_TEL,267
1769101214.8009205,INbound_TEL,267
1769101214.841037,OUTbound_CMD,66
1769101214.8413212,OUTbound_CMD,66
1769101214.8519595,OUTbound_CMD,191
1769101214.8541877,INbound_TEL,66
1769101214.8566527,INbound_TEL,269
1769101214.857092,OUTbound_CMD,66
1769101214.8574886,INbound_TEL,269
1769101214.8578627,OUTbound_CMD,66
1769101214.9228888,INbound_TEL,531
1769101214.9236448,INbound_TEL,531
1769101214.9241955,OUTbound_CMD,66
1769101214.9246297,OUTbound_CMD,66
1769101214.9251926,OUTbound_CMD,159
1769101214.9257917,INbound_TEL,66
1769101214.9263105,OUTbound_CMD,158
1769101214.9270074,OUTbound_CMD,255
1769101214.9277256,INbound_TEL,66
1769101214.9664202,INbound_TEL,66
1769101214.9668057,OUTbound_CMD,379
1769101214.967019,INbound_TEL,66
1769101214.9776952,INbound_TEL,72
1769101214.9780192,OUTbound_CMD,76
1769101214.982407,INbound_TEL,66
1769101214.992881,INbound_TEL,266
1769101214.9932816,INbound_TEL,266
1769101215.0069962,INbound_TEL,530
1769101215.0072927,OUTbound_CMD,66
1769101215.0079353,OUTbound_CMD,159
1769101215.0081768,INbound_TEL,530
1769101215.0083838,OUTbound_CMD,66
1769101215.0086014,INbound_TEL,66
1769101215.0093899,OUTbound_CMD,158
1769101215.0098891,INbound_TEL,66
1769101215.0103698,OUTbound_CMD,255
1769101215.0108695,OUTbound_CMD,254
1769101215.0146668,INbound_TEL,66
1769101215.0150628,INbound_TEL,66
1769101215.0523007,INbound_TEL,268
1769101215.0528932,OUTbound_CMD,191
1769101215.0533533,INbound_TEL,268
1769101215.0537689,INbound_TEL,66
1769101215.0929656,OUTbound_CMD,66
1769101215.093397,OUTbound_CMD,66
1769101215.1230032,INbound_TEL,531
1769101215.1234777,INbound_TEL,531
1769101215.123911,OUTbound_CMD,66
1769101215.1243029,OUTbound_CMD,66
1769101215.1249127,OUTbound_CMD,159
1769101215.1255105,OUTbound_CMD,158
1769101215.1261451,INbound_TEL,66
1769101215.126556,INbound_TEL,66
1769101215.1270168,OUTbound_CMD,255
1769101215.1274683,OUTbound_CMD,254
1769101215.1281793,INbound_TEL,66
1769101215.1285727,INbound_TEL,66
1769101215.1526775,OUTbound_CMD,191
1769101215.1531637,INbound_TEL,66
1769101215.192665,INbound_TEL,267
1769101215.1941743,INbound_TEL,267
1769101215.2061067,INbound_TEL,531
1769101215.2064037,OUTbound_CMD,66
1769101215.2074053,OUTbound_CMD,159
1769101215.2080162,INbound_TEL,66
1769101215.2092016,OUTbound_CMD,255
1769101215.2097242,INbound_TEL,531
1769101215.2101457,OUTbound_CMD,66
1769101215.2106688,OUTbound_CMD,158
1769101215.2110934,INbound_TEL,66
1769101215.2508857,INbound_TEL,269
1769101215.2511954,INbound_TEL,269
1769101215.2514334,OUTbound_CMD,254
1769101215.2910857,OUTbound_CMD,66
1769101215.2944016,INbound_TEL,66
1769101215.294887,OUTbound_CMD,191
1769101215.2950876,INbound_TEL,66
1769101215.3080084,INbound_TEL,531
1769101215.308251,OUTbound_CMD,66
1769101215.309197,INbound_TEL,531
1769101215.309913,OUTbound_CMD,159
1769101215.3104942,INbound_TEL,66
1769101215.3109853,OUTbound_CMD,158
1769101215.311194,INbound_TEL,66
1769101215.311442,OUTbound_CMD,255
1769101215.3118064,OUTbound_CMD,254
1769101215.3139715,INbound_TEL,66
1769101215.3143702,INbound_TEL,66
1769101215.3528097,OUTbound_CMD,191
1769101215.3542552,INbound_TEL,66
1769101215.3973272,INbound_TEL,267
1769101215.3989336,INbound_TEL,267
1769101215.4036143,INbound_TEL,531
1769101215.403884,OUTbound_CMD,66
1769101215.4045007,OUTbound_CMD,159
1769101215.404809,INbound_TEL,66
1769101215.405183,INbound_TEL,531
1769101215.4054244,OUTbound_CMD,66
1769101215.405674,OUTbound_CMD,255
1769101215.4068124,OUTbound_CMD,158
1769101215.407512,INbound_TEL,66
1769101215.4080274,INbound_TEL,66
1769101215.408577,OUTbound_CMD,254
1769101215.4089992,INbound_TEL,66
1769101215.4534223,OUTbound_CMD,191
1769101215.4539123,INbound_TEL,66
1769101215.4543774,INbound_TEL,269
1769101215.4548376,INbound_TEL,269
1769101215.4864511,INbound_TEL,531
1769101215.4868095,OUTbound_CMD,66
1769101215.4874756,OUTbound_CMD,159
1769101215.4886727,INbound_TEL,66
1769101215.4891672,OUTbound_CMD,255
1769101215.4912233,INbound_TEL,66
1769101215.4915955,INbound_TEL,531
1769101215.4918272,OUTbound_CMD,66
1769101215.4925508,OUTbound_CMD,158
1769101215.4928653,INbound_TEL,66
1769101215.494357,OUTbound_CMD,254
1769101215.4948413,INbound_TEL,66
1769101215.5539808,OUTbound_CMD,191
1769101215.5588648,INbound_TEL,66
1769101215.5883002,INbound_TEL,531
1769101215.5886948,INbound_TEL,531
1769101215.5894876,OUTbound_CMD,159
1769101215.5902102,OUTbound_CMD,158
1769101215.5907211,INbound_TEL,66
1769101215.5913434,OUTbound_CMD,255
1769101215.5955849,INbound_TEL,66
1769101215.595867,INbound_TEL,267
1769101215.5961194,INbound_TEL,267
1769101215.5965,OUTbound_CMD,254
1769101215.6369123,OUTbound_CMD,66
1769101215.638154,INbound_TEL,66
1769101215.6536925,OUTbound_CMD,191
1769101215.653975,INbound_TEL,269
1769101215.6541748,OUTbound_CMD,66
1769101215.6544335,INbound_TEL,66
1769101215.6590874,INbound_TEL,269
1769101215.6861959,INbound_TEL,531
1769101215.6865723,OUTbound_CMD,66
1769101215.687183,INbound_TEL,531
1769101215.6878407,OUTbound_CMD,159
1769101215.6884434,OUTbound_CMD,66
1769101215.6890216,INbound_TEL,66
1769101215.6897018,OUTbound_CMD,158
1769101215.6901152,INbound_TEL,66
1769101215.690583,OUTbound_CMD,255
1769101215.6911397,OUTbound_CMD,254
1769101215.691599,INbound_TEL,66
1769101215.6919994,INbound_TEL,66
1769101215.753849,OUTbound_CMD,191
1769101215.7542522,INbound_TEL,66
1769101215.770144,INbound_TEL,531
1769101215.7715023,OUTbound_CMD,159
1769101215.773552,INbound_TEL,66
1769101215.7742813,INbound_TEL,531
1769101215.77524,OUTbound_CMD,158
1769101215.775579,INbound_TEL,66
1769101215.7759275,OUTbound_CMD,254
1769101215.7817993,INbound_TEL,66
1769101215.7835226,OUTbound_CMD,255
1769101215.7873456,INbound_TEL,66
1769101215.804489,INbound_TEL,267
1769101215.8049805,INbound_TEL,267
1769101215.8449674,OUTbound_CMD,66
1769101215.8460789,OUTbound_CMD,66
1769101215.8537056,INbound_TEL,269
